ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
15,Hyundai Steel - Daekyo Kangaroos,"09/08/2016, 10:00",51.0,30.0,19.0,2.01,3.88,3.47,0:0,1.02,1.16,0.66,49.6,25.7,28.7,1.36,4.26,-9.7
16,FC Irtysh Omsk - FC Chita,"09/08/2016, 11:00",21.0,26.0,53.0,3.04,3.73,2.25,0:1,0.63,0.97,1.19,32.8,26.7,44.3,-11.0,-0.7,8.6
17,FC Dynamo Barnaul - Zenit Irkutsk,"09/08/2016, 11:30",66.0,17.0,18.0,1.51,3.97,7.84,2:1,1.0,0.67,1.41,65.9,25.1,12.7,0.03,-8.1,5.25
18,Mohammedan SC - United Sports Club,"09/08/2016, 12:00",46.0,15.0,40.0,1.68,4.54,4.54,2:2,0.77,0.68,1.81,59.5,21.9,21.9,-13.0,-6.9,18.0
19,Dinamo Kirov - Zenit Izhevsk,"09/08/2016, 13:00",8.0,21.0,71.0,9.69,5.01,1.35,0:5,0.77,1.05,0.96,10.3,19.9,73.9,-2.3,1.06,-2.9
20,Greece - Slovenia,"09/08/2016, 13:30",45.0,23.0,32.0,3.1,3.76,2.21,0:2,1.39,0.86,0.7,32.2,26.5,45.0,12.7,-3.5,-13.0
21,Dibba Al Fujairah - Baniyas SC,"09/08/2016, 13:40",27.0,34.0,39.0,3.43,3.77,1.98,3:2,0.92,1.28,0.77,29.1,26.4,50.4,-2.1,7.5,-11.0
22,ONS Oulu - Ilves,"09/08/2016, 14:00",26.0,20.0,54.0,3.81,4.16,1.85,0:1,0.99,0.83,1.0,26.2,24.0,53.8,-0.2,-4.0,0.18
23,FC Illichivec Mariupol - FK Mykolaiv,"09/08/2016, 14:00",77.0,17.0,6.0,1.27,5.25,13.2,2:0,0.98,0.89,0.79,78.3,19.0,7.55,-1.3,-2.0,-1.5
24,US Albinoleffe - Fano Calcio,"09/08/2016, 14:30",55.0,28.0,17.0,2.07,3.27,3.97,1:1,1.13,0.91,0.67,48.2,30.5,25.1,6.71,-2.5,-8.1
25,Utenis - FK Atlantas Klaipeda,"09/08/2016, 14:30",12.0,14.0,73.0,11.3,6.04,1.26,1:1,1.36,0.84,0.92,8.8,16.5,78.9,3.19,-2.5,-5.9
26,Avenir S Marsa - ES Metlaoui,"09/08/2016, 14:30",53.0,27.0,20.0,2.4,3.02,3.18,0:1,1.27,0.81,0.63,41.6,33.1,31.3,11.3,-6.1,-11.0
27,Club S Hammam-Lif - Club Africain,"09/08/2016, 14:30",29.0,32.0,40.0,3.97,3.32,1.96,1:4,1.15,1.06,0.78,25.1,30.1,50.7,3.83,1.88,-10.0
28,CD Praviano - Real Oviedo B,"09/08/2016, 15:00",24.0,30.0,46.0,3.84,3.91,1.9,0:2,0.92,1.17,0.87,25.9,25.5,52.5,-1.9,4.42,-6.5
29,FC Ingulets - Bukovina Chernovtsy,"09/08/2016, 15:00",59.0,19.0,21.0,2.41,3.38,2.93,1:1,1.42,0.64,0.61,41.4,29.5,34.0,17.5,-10.0,-13.0
30,HJK Helsinki - Pallokissat,"09/08/2016, 15:30",56.0,18.0,25.0,2.07,4.28,3.09,1:0,1.15,0.77,0.77,48.2,23.3,32.3,7.71,-5.3,-7.3
31,FC Honka - PK-35 Vantaa,"09/08/2016, 15:30",45.0,22.0,33.0,3.28,4.13,2.02,1:1,1.47,0.91,0.66,30.4,24.1,49.3,14.5,-2.1,-16.0
